Genotypes,Block,Row,,Anthesis(before harvest),Wet Biomass(g),Weight to subtract (bag and  tie),Dry biomass (g),Weight to subtract (tray and dry tie)
CtrlLhb,IV,II,17,NF,51,31.4,123.1,117.2
BeCS,IV,II,18,F,56,31.4,123,117.2
CSLhb,V,I,1,F,48,31.4,121.8,117.2
CtrlLec,V,I,2,NF,37,31.4,111.2,117.2
CtrlLs,V,I,3,,,,,
CSLs,V,I,4,,,,,
AgCS,V,I,5,F,141,31.4,147.6,117.2
CtrlLea,V,I,6,NF,77,31.4,131,117.2
CtrlCS,V,I,7,F,119,31.4,150.1,117.2
BeCS,V,I,8,F,108,31.4,136.9,117.2
CtrlLt,V,I,9,,,,,
CtrlLhb,V,I,10,NF,58,31.4,125,117.2
CtrlLeb,V,I,11,,,31.4,,117.2
CSLe,V,I,12,F,105,31.4,137.9,117.2
CtrlLha,V,I,13,NF,87,31.4,136.5,117.2
CSLex,V,I,14,F,169,31.4,163.1,117.2
CtrlLp,V,I,15,NF,77,31.4,130.2,117.2
CSLt,V,I,16,NF,174,31.4,160.8,117.2
CSLha,V,I,17,,,31.4,,117.2
LDNLp,V,I,18,NF,106,31.4,137.1,117.2
CSLhb,V,II,1,F,193,31.4,162,117.2
CtrlCS,V,II,2,F,194,31.4,167.4,117.2
LDNLp,V,II,3,NF,126,31.4,142.3,117.2
CSLha,V,II,4,F,98,31.4,136.3,117.2
CSLex,V,II,5,F,42,31.4,110.7,117.2
CtrlLec,V,II,6,F,49,31.4,123.4,117.2
CtrlLha,V,II,7,F,43,31.4,120.5,117.2
CtrlLp,V,II,8,SF,107,31.4,136.6,117.2
CtrlLea,V,II,9,SF,73,31.4,130.9,117.2
CSLt,V,II,10,F,153,31.4,153.7,117.2
CtrlLeb,V,II,11,,,,,
CtrlLhb,V,II,12,NF,36,31.4,118.1,117.2
CSLe,V,II,13,F,107,31.4,140.3,117.2
CtrlLt,V,II,14,,,,,
AgCS,V,II,15,F,98,31.4,130.6,117.2
CtrlLs,V,II,16,SF,,,,
CSLs,V,II,17,,,,,
BeCS,V,II,18,F,68,31.4,125.8,117.2
